Origin,OriginCode,Weight,Destination,DestinationCode,Region,Fiscal_Year,Contract_Signing_Date,As_of_Date,WB_Contract_Number,ShipType
HONG KONG,57840,2236983440,YANTIAN,57857,HONG KONG,2015,02/01/2015,08/01/2015,1,1.Hong Kong——YANTIAN 223698Million tonnes
ZHOUSHAN,59960,1046516310,CHINAE,60385,ZHOUSHAN,2015,01/01/2015,03/01/2015,1,2.ZHOUSHAN——CHINAE 104652Million tonnes
PORT KLANG,49930,887438482,KEPPEL - (EAST SINGAPORE),50000,PORT KLANG,2015,03/01/2015,07/01/2015,1,3.PORT KLANG——KEPPEL - (EAST SINGAPORE) 88744Million tonnes
PORT HEDLAND,54620,667516610,TANGSHAN (JINGTANG),60193,PORT HEDLAND,2015,02/01/2015,06/01/2015,1,4.PORT HEDLAND——TANGSHAN (JINGTANG) 66752Million tonnes
YANTIAN,57857,662196368,PULAU BUKOM,50010,YANTIAN,2015,05/01/2015,08/01/2015,1,5.YANTIAN——PULAU BUKOM 66220Million tonnes
SHEKOU,57777,662192498,PORT KLANG,49930,SHEKOU,2015,06/01/2015,09/01/2015,1,6.SHEKOU——PORT KLANG 66219Million tonnes
HONG KONG,57840,515481642,KEPPEL - (EAST SINGAPORE),50000,HONG KONG,2015,01/01/2015,04/01/2015,1,7.HONG KONG——KEPPEL - (EAST SINGAPORE) 51548Million tonnes
YANTIAN,57857,473877354,KAO-HSIUNG,57920,YANTIAN,2015,05/01/2015,06/01/2015,1,8.YANTIAN——KAO-HSIUNG 47388Million tonnes
HONG KONG,57840,423240730,KAO-HSIUNG,57920,HONG KONG,2015,03/01/2015,11/01/2015,1,9.HONG KONG——KAO-HSIUNG 42324Million tonnes
SHANGHAI,59970,416223542,CHINAE,60385,SHANGHAI,2015,03/01/2015,08/01/2015,1,10.SHANGHAI——CHINAE 41622Million tonnes
